userName,score,at,content
Amri Dh,1,2022-11-08 07:49:29,"Setelah isi data diri kabayan, eh.. malah gagal memuat data. Bener ngak nih aplikasi. Takutnya penyalah gunaan data diri. Productnya efishery bagus, aplikasinya juga harus bagus lah."
Acepa Aku,5,2022-11-07 12:16:05,"Mantul,smoga efishery trs jaya"
Petani Ikan,5,2022-11-06 19:44:07,Mantap poko ny soal ny bisa sdikit mmbantu
Prima Cell,1,2022-11-05 18:45:21,Ndak bisa dibuka
Martino Ashar,1,2022-11-03 20:12:57,Aplikasi tidak jelas. Mau beli pakan sudah di tulis sesuai form yang di wa tp tidak ada respon. Lha terus bagaimana?
rais be,5,2022-11-03 11:07:07,Sangat terbantukan bagi pembudidaya kecil seperti saya
Pratama Ndaru,1,2022-11-02 17:03:55,"Mau jual ikan susah, untuk hubungin CSnya aja ga di bales bales. PHP aplikasinya ni"
Anan Wahyu,5,2022-10-27 17:28:53,ANA1578 refferal ku Bagi saya sngt membantu..! Trm ksh.
Rawun dotTV,1,2022-10-27 01:08:26,"Tdak ada pembelian pakan tibatiba bisa dikirim kwitansi via wa, padahal aplikasi sebelumya sudah saya hapus. Mengerikan"
Jamroni Roni,5,2022-10-23 08:38:23,Awal budidaya ikan
Fauzi Hediansyah,5,2022-10-04 12:42:31,Mantap
Yono Winarto,1,2022-09-26 11:05:33,Aplikasi ga jelas layanan nya pun sangat sangat buruk mending pikir pikir lg buat petani pake apk ini...
Gumam Sekalah,5,2022-09-25 23:22:53,"Saya kasih bintang 5, agar pengajuan sy cepet cair hehe sy sudah nunggu 4 bln karna dulu waktu penyerahan dokumen katanya ada yg kurang sehingga di lanjutkan lagi alhmdullah sekarang tinggal nunggu pencairan namun blm juga ada informasi nya mohon admin di percepat ya proses pengajuan sy, seblm nya trimaksih ğŸ™ğŸ™ğŸ™"
imam muttaqin,5,2022-09-20 12:08:51,Mantap
Fandi Marshal,5,2022-09-19 14:33:19,Sangat membantu
Pele Cing,3,2022-09-19 10:04:03,Sangatlah bagus cuman kok daftarnya susah bnget.
Desiana arisandi,5,2022-09-11 17:05:33,Saya lg nunggu proses dari eFisheryku udah 2 har masih dalam proses
Orenz BarBar Gaming,3,2022-09-11 00:24:29,Coba
ROFAN ROHADISMAN,5,2022-09-08 21:16:02,Keren. Membantu Pembudidaya untuk meningkatkan hasil budidaya nya
Jhodi Virgiawan,5,2022-08-25 23:48:11,Sangat membantu
Muhammad Hamzah,5,2022-08-21 09:37:47,Dengan adanya efisheryku saya pribadi tertolongkan
Ismail Saputra,5,2022-08-19 16:38:30,Mantap
Winda Sari Ningsih,5,2022-08-18 22:09:22,Aplikasinya sangat bermanfaat sekali ğŸ‘ğŸ¼
BWI FARM,5,2022-08-16 19:39:54,Sudah beberapa kali order dan alhamdulillah semuanya berjalan lancar
Apriadi Reva,5,2022-08-15 23:19:44,sangat membantu
asrul kadir,4,2022-08-09 12:31:25,Bintang 4 aza dlu krn kemaren sdh pernah dikunjungi oleh petugasnya Berkas jg sdh diambil tpi gk ada kabar lgi
Sarada Jtb,5,2022-08-09 04:51:59,Cukup baik dn membantu
Arif Budiono,1,2022-08-08 21:15:04,Fitur aplikasi belum siap
M.Sahwin Irfan Jamil,5,2022-08-02 15:28:01,luar biasa
Iip Ruslan,5,2022-08-02 12:10:06,Oke
Desi Riyanti,5,2022-08-02 11:48:01,Terimakasih sangat membantu kami
Afika Balqis,4,2022-07-24 16:49:49,Mantaap
HBS Version,1,2022-07-22 10:22:29,"Aplikasi yg belum siap launching. Beli pakan langsung diarahkan ke WA utk kirim pesan tapi begitu pesan terkirim tidak ada respon sama sekali. Kemudian terkait alat pemberi pakan pun tdk jelas bgm cara belinya bgm programnya, dan msh byk lainnya yg perlu diperbaiki"
Nunuk Ergianto,5,2022-07-21 12:36:34,Jos
Maychel Tedy Maramis,5,2022-07-19 17:35:01,Sangat mudah
IstiQomah Nuhruddin,5,2022-07-18 19:57:27,"Sangat terbantu dengan pelayanan kabayan, maaf kadang terlambat pembayarannya"
AKIN AREA,3,2022-07-18 03:28:39,"Pas daftar suruh masukin nama kota, tapi yg ada cuma sebagian wilayah doang kota bandung gk ada sampe sekarang belum bisa daftar tolong lebih di maksimalin lagi apk nya"
Babe Sawal,5,2022-07-17 09:56:53,Bisa bermanmaat utk orang lain
RAKUS PURWOREJO,1,2022-07-17 00:53:45,"Aplikasinya kadang susah diakses,sesudah pengajuan program Kabayan tidak ada proses kejlasan di ACC atau ngaknya,,perlu perkembangan ini aplikasi"
Subkhan,5,2022-07-16 16:41:50,Dengan Aplikasi ini saya sangat setuju walaupun dlm pencarian yg sangat melekah kan namun akhirnya setabil bisa memberikan opsional meskipun tidak memuaskan pihak Dveloper terkait itulahyg bisa kami sampaikan ada kurang lebihnya kami mohon maaf yg sebesar besarnya.
kosyim nanang,1,2022-07-14 11:19:58,"Udah 2x pesen pakan inden seminggu lebih... Gak profesional, petugasnya slow respon. Kapok deh gak kan kerjasama lg"
Andi Lubis,5,2022-07-13 13:40:44,Mantap
Erna Wati,5,2022-07-09 09:04:59,Baru gabung
Atong Aquarium,5,2022-07-08 03:07:29,Sangat membantu sekali buat keluarga kami di Palembang dan kabupaten Banyuasin Sumatera Selatan Indonesia
David Prasetio,5,2022-07-07 16:31:46,E ikan ku
MUPLE Tv,1,2022-07-04 01:00:05,Pengajuan sayaa gimana kok belum ada kejelasan sudah 3 minggu lebih .belum ada hasil .di suruh daftar lagi. sebenarnyaa bisa gak sih ..atau sudah bangkrutt...
Schwarzer Tenshi,1,2022-07-03 17:34:38,Jujur saja sangat kurang bermanfaat
Thoufiqurrokhim Opik,1,2022-06-30 08:54:55,Aplikasi gak jelas.
Kemal Kusumah,1,2022-06-29 12:42:39,Ada nomor customer service?
Syamsul Imanudin,1,2022-06-19 09:22:13,"Aplikasi tidak bisa digunakan malah ngebleng aja putih tak ada tulisan sepatah katapun,atau menu apa gitu."
sembor leo,5,2022-06-11 19:46:12,Ini pengalaman pertama
Wisnu Surya Wardhana,1,2022-06-05 23:27:41,Aplikasinya ini pake PWA? ğŸ™„
Nofri Delfita,5,2022-06-03 17:33:38,Sangat membantu pembudidaya
Hasan Farid,1,2022-05-29 19:30:05,Apk taik
Muhammad Qudus Firdausa,5,2022-05-29 15:25:27,"Menunggu update lanjutan aplikasinya, semoga dapat mebantu pembudidaya ikan."
Edo Tumbay Edo,5,2022-05-26 20:17:21,Saya suka aplikasi ini
Z7,1,2022-05-19 17:47:29,Setelah kirim data tidak ada kelanjuta ... Takutnya disalah gunakan
Luffy Nia,1,2022-05-19 08:46:34,Busuk udah 2x dftar kabayan tpi tau2 udh dsruh daftar lagi..gda kjelasan gagalnya dimana..apk gajelas
O I,1,2022-05-18 11:32:27,"Gak jelas.. Orang sudah daftar dan nunggu konfirmasi, ini nunggu 20 hari malah suruh daftar lagi"
AK Channel,1,2022-05-12 20:43:51,"Buruk, eror saat login kembali dan gk ada kabar kelanjutan setelah kirim semua data beberapa bulan lalu. Smoga data.nya baik-baik saja tidak disalah gunakan"
terminator one,1,2022-05-11 18:47:40,Responnya lama
Yazid Jaya,3,2022-05-08 11:01:36,ğŸ‘ğŸ¼
Rizal Muhamad,5,2022-04-21 01:38:31,Sangat bagus
Anang Luffyan,1,2022-04-18 03:55:22,Apk gajelas..dftar kabayan sedang dproses Mulu udah 1 mingguan
Heri Baga,5,2022-04-10 17:24:07,Aplikasi membantu peternak nila. Sukses terus efisheryku...
Parjo Suparjo,1,2022-03-31 14:06:51,Piara burug memang ksukanku mem buatsejuk dihati semuaorsng.
NUZUL FR,1,2022-03-31 08:23:37,Baru download ga bisa ke buka bug terus
Tony Arbi,5,2022-03-29 22:51:44,"Aplikasi paling keren, meringkan petani ikan dengan kebutuhan yang cukup"
Dikri Fathan,3,2022-03-28 17:22:13,Cara mengaktivkn nya
OFINI PANGEMANAN,2,2022-03-27 01:13:36,"Negatif: Kesigapan pelayanan petugas kurang Memuaskan dalam fitur pendaftaran, lebih condong ke pembayaran langsung Tunai, tidak bisa membantu pembudidaya secara langsung, tidak jelas dalam mengisi fitur aplikasih. Positif: dapat membantu banyak masyarakat dalam hal mengurangi angka pengangguran, mempermudah pemasaran ikan dan dapat mewujudkan masyarakat sejahterah. ""Apabila jelas""."
Ainaina Ina,5,2022-03-20 10:06:47,Malaysia
Mancing Di Sungai,5,2022-03-18 16:53:10,Cocok
u s,1,2022-03-10 09:31:21,Ini apalikasi apa sih gak jelas sumpah.. menunya belum pada aktif... Ini untuk memberdayakan petani apa cuman jualan pakan... ğŸ˜‚
Jenonk Belank,2,2022-03-09 21:58:30,Mudah mudahan semua petani ikan pada sukses Amiin
Hendra Wahyudi,5,2022-03-09 21:51:37,Ok
Mulyadi Mul,4,2022-03-02 12:33:37,"Sebaiknya harga pakan lebih murah dari harga toko,(muda2han bisağŸ˜)"
Rakian Rizki,3,2022-02-28 11:36:56,"Masa komoditas ikan konsumsi aja, komoditas ikan hiasnya gaada. Padahal pembudidaya ikan hias seperti koi juga banyak. Tolong kalau bisa eFisheryku diupdate supaya tidak mebatasi dan mengunggulkan komoditas ikan budidaya tertentu, tapi juga bisa mengunggulkan semua komoditas perikanan budidaya."
tata tata,5,2022-02-27 20:33:00,Ikan
Hadi Meidiyan,2,2022-02-20 04:19:05,Sementara bintang 2 dulu: Menunggu aktif modul Lapak Ikan dan Pencatatan. Semoga selain Beli Pakan bisa Beli Bibit juga.
Sri Adnyani,5,2022-02-19 22:51:36,bagus
Muhammad Jainin,3,2022-02-16 21:28:07,Meningkatkan digitalisasi
Klinik Handphone,1,2022-02-14 11:42:36,Deskribsikandayaonleneotomatisokegoogleplay
Keluarga hdn,2,2022-02-10 13:18:53,"Saya kasih bintang 2 dulu karna eFishery kasih tawaran tapi tertunda tunda,pengen membantu tapi sekedar cerita doang"
Maman Carsiman,5,2022-02-08 01:11:10,69 @ g mail com uvdath
Julia Wansah,3,2022-02-07 18:04:49,Law bagus saya kasih 5.baru percobaan
JEJAK SI AKI,3,2022-02-07 12:05:49,3 dulu belum di coba
JBBurhannudin Nudin,5,2022-02-03 17:48:27,Sehat selalu
Suparno Abdulhakim,5,2022-02-01 15:11:11,Semoga saya bisa di ACC buat perkembangan usaha perikanan
Setiawan Iwan,4,2022-01-26 23:43:04,"Harga pakannya lebih mahal,yang pembudidaya inginkan harga pakan lebih murah dari toko,ya semacam ambil langsung dari pabrik,terus apk juga buat fitur semacam tanya jawab gitu biar nanti para pembudidaya bisa saling sering,terima kasih dan maaf jika ada yang kurang berkenan"
Yudi Kurniawan,1,2022-01-24 18:29:02,"Saya udh kasih bintang 5,kenapa saya gak bisa buka aplikasi eFishery ini y..."
Ata Gatuy,3,2022-01-23 19:48:25,Instal nya lama. Login gabung jadi member pun sama
Ahmadhadiyatulloh habibi,1,2022-01-15 16:04:56,Gak bisa di buka gan..
pitri kandek,5,2022-01-15 06:04:53,(Opsional)
ade sumendri,5,2022-01-13 15:40:47,Sy gabung dengan efishary
raindy prasetya,1,2022-01-12 20:10:16,Banyak bug. Pas register gak bisa simpan..
Sutaji 1606,4,2022-01-07 13:12:48,Ok sekali setuju banget bro
Lek Nedz,5,2021-12-28 11:44:08,sangat membantu petani perikanan lele saya
denny dewantoro,5,2021-12-27 13:20:00,Sangat membantu
Ruslan Paladise,5,2021-12-22 20:25:17,Kok gak bisa di install aplikasi nya ngapaya
Zhafran Muhammad,1,2021-12-21 12:58:26,Tidak ada respon dri pihak efish
Koes Swari,1,2021-12-10 12:05:43,"apk tidk bisa dibuka, baru instal tapi tidak bisa register kira kira kenapa ya?"
dani Henok Kayame,5,2021-11-29 11:29:55,Mantap..........?
iqmatul akmal,1,2021-11-23 22:43:40,Aplikasinya belum bekerja
Aquaculture Makassar,5,2021-11-21 15:49:32,Aman
Eko kodok,5,2021-11-18 15:16:01,Saya kasih bintang 5 biar app segera di apdet
Ignatius Ivan Lumen,5,2021-11-07 14:39:48,Sangat Baik
Bayu Aji Pangestu,1,2021-10-31 13:56:29,Engga bisa dioperasikan
Ibrahim Tahir,5,2021-10-31 07:48:29,Lebih mantap
Imam Soripada Harahap,5,2021-10-31 01:05:30,ok
Sultan Mahbebas,5,2021-10-31 00:24:33,Y mudah-mudahan bisa membantu petani budidaya ikan
Asep Soy,5,2021-10-27 16:44:55,Good
Nazril Rizal,5,2021-10-13 17:47:26,Sangat membantu
Ham Zah,5,2021-10-13 15:06:19,Mantap
Vik Vik,5,2021-10-02 18:21:41,Semoga cepet di acc
Yandra Dayak,5,2021-10-01 22:09:37,Mantap. Aplikasi ini sangat mambantu pembudidaya ikan dan cukup bermanfaat dalam pengadaan pakan.
Alim Anhar,5,2021-09-29 13:02:42,Berbudidaya dalam satu genggaman
Febby Fauza,5,2021-09-25 12:05:14,Mantap.. apk yang sangat membantu para petani untuk tumbuh bersama eFishery.
Miftah Hasan falahudein,5,2021-09-23 20:10:01,Tes.
Hakim Ulgi,5,2021-09-23 13:46:21,MantepğŸ‘
Okta Rico,5,2021-09-23 06:49:46,Efishery keren bgy
Chandra San,5,2021-09-22 22:34:56,"Sangat membantu para pembudidaya dan di mudahkan dalam hal membeli pelet ikan, Sukses buat Efishery"
Rony Cane,5,2021-09-22 22:33:07,Tumbuh bersama efisheryğŸ“Œ
jeli kurniawan,5,2021-09-22 16:42:04,Mantap
fiasal sindurjan,5,2021-09-22 16:34:51,Apk yg berguna apk kapasitas kecil.. Menrutku aku sangat membantu bagi petani
berta bareta,5,2021-09-22 16:34:21,Maju terus eFishery ğŸŸ #TumbuhBersama
MD STUDIO,5,2021-09-22 16:31:33,"Waspada gabung eFisheryku bisa sukses budidayanya heheh ,,josss pokok nya"
Leopold Katuuk,5,2021-09-22 15:37:20,Mantap
26_Nyoman Oki Tanaya,1,2021-09-20 17:52:36,"Untuk defeloper/ yang bertanggung jawab atas aplikasi ini. Saya barusan download, mau register akun aja ga bisa. Mohon segera diperbaiki."
Robys 1984,5,2021-09-16 13:43:17,Okey mantul
alfarisi amin,5,2021-09-13 10:13:33,"Aplikasi ringan yang membantu pembudidaya mendapat akses pakan dan akuakultur secara digital, di tunggu next update."
Defli rasenjaya Dep,5,2021-09-10 21:00:44,ğŸ”
sopyan koi farm,5,2021-09-10 16:51:53,mantap
Anakbaru Maap,4,2021-09-08 22:07:34,ok
Affan Maulana,5,2021-09-08 21:12:04,Mantab
Machdi Setiawan,1,2021-09-08 20:21:31,"Aplikasi belum bekerja sepenuhnya, di chat ga ad respon yg Laen koment pada ngasih bintang lima kawan2 nya yaaakk,....ğŸ™"
Mummadmahyadfm Mm,5,2021-08-26 21:43:45,Good bos
Frasisco Wantania,5,2021-08-21 19:36:01,Mntap
Wiwik Dhiana,5,2021-08-20 13:31:34,Efishery terus maju Sejahtera para petani lele semuanya.. Aamiin... Pak Rusli
Yasser Al Pengambangi,5,2021-08-19 14:05:07,Menunjang sekali untuk petani ikan diseluruh indonesia
skandar maljutinov,5,2021-08-19 12:30:28,Cukup bagus
"Muhammad Zainal, S.P.d",5,2021-08-18 17:07:12,Bagus
Rendy Bagus Angga Permana,5,2021-08-12 19:34:15,Memajukan dunia perikanan ğŸŸ
leo gamers,4,2021-08-10 01:14:29,"Cara registrasi nya gimana, punyaku kok gak bisa"
Riza Soebarkah,5,2021-08-09 11:06:58,Joooss
kapuas mitra,5,2021-08-07 18:42:27,Ntaps
Andry hasan,5,2021-08-06 22:27:50,Bagus dan sangat memuaskan
tona bona,5,2021-07-27 05:11:45,Tumbuh bersamağŸ‘ğŸ‘
robi azri rahil,5,2021-07-25 07:12:03,Apk yg ringan dan sangat membantu para petani ikan utk mendapatkan informasi2 menarik ttg budidaya
haviz choirunnas,5,2021-07-24 16:17:41,Simple pastense
Odie Suyanto,5,2021-07-24 14:37:05,Top Banget
indriawan kaja,5,2021-07-24 14:29:43,Mantap
dedi purwansyah,5,2021-07-24 13:13:36,Sangat membatu pembudidaya
adipta novamta Mahardhika,5,2021-07-24 12:58:06,"Applikasi ringan gak makan banyak memori, ditunggu update app kedepannya jadi bsia super gampang kalau mau order pakan, jual ikan dan pastinya dftr jadi mitra nya."
Dedi Annur wahyudi,5,2021-07-24 12:57:44,Josss...
Fajar Muslim,5,2021-07-24 12:53:46,Terbaik. Sangat membantu untuk para petani.
Bang Herla,5,2021-07-24 12:52:24,"Mantap, mempermudah petani untuk tumbuh bersama eFishery"
radityo yantono,5,2021-07-23 20:36:37,membantu petani ikan lebih berkembang dalam budidaya ikan tawar
Musfik Amrullah,5,2021-07-23 19:30:19,Terimakasih sudah sangat membantu
wiwit safitri,5,2021-07-23 18:19:11,Bagus
ANS,5,2021-07-23 12:22:59,Iya bagus nih membantu sekali bagi petani ikan...untuk lebih tumbuh kembang di dunia perikanan......ğŸ‘ğŸ‘ğŸ‘ğŸ‘
Hafidh Maulana,5,2021-07-22 19:24:35,"Aplikasi sangat menarik, bisa membantu pembudidaya ikan"
Muhammad Arditya Affandi,5,2021-07-22 18:56:18,Compact dan sangat recommended utk para pembudidaya ikan air tawar ğŸ˜
Abdulah Naufal,5,2021-07-22 18:34:45,Menuju Perikanan yang GoDigital
Moh Nur Khasan,5,2021-07-22 18:31:27,Aplikasinya enteng Produknya sangat membantu mengembangkan budidaya ikan Petani ikan pemula wajib join Rekomended
Muhammad Rizaldi,5,2021-07-22 18:30:17,Good app
Gandha Ade,5,2021-07-22 18:29:53,Membantu
Aditya Nurrochim,5,2021-07-22 18:28:26,Anda pembudidaya ikan? Wajib dong download aplikasi ini.
Ian Aan,5,2021-07-22 18:24:16,Solusi produksi ikan
Crysta Prayhoga,5,2021-07-22 18:13:49,the best
Riza Tri,5,2021-07-22 18:07:16,Jossss
BAGAS KIDS DIARY,5,2021-07-22 18:06:51,Tumbuh bersama eFishery
BANDAR iwak,5,2021-07-22 18:05:43,Mantap aplikasi yang sangat bermanfaat dan sangat sangat membantu petani. Bisa transaksi pakan drngan mudah dan mendapat informasi mengenai budidaya serta bisa belipakan dengan tenor...
Bachtiar Achmad,5,2021-07-22 18:04:48,Kren
Arga Iswara,5,2021-07-22 18:03:39,Aplikasi yg sangat membantu para pembudidaya ikan ğŸ‘ğŸ‘ğŸ‘
Nafiee Nesia,5,2021-07-22 18:03:12,Aplikasinya mantap bisa dapat info seputaran budidaya ikan ğŸ¤—
Mas Awo,5,2021-07-22 18:02:44,Amazing ğŸ”¥ğŸ”¥ğŸ”¥
Ali Sabed,5,2021-07-22 15:57:11,Goood semoga eFishery semakin maju dan memajukan Pembudidaya Ikan...
Dede Syahputra,5,2021-07-21 20:33:58,Semoga semakin berkembang Semangat #TumbuhBersama
M. Fandagri Hartanto,5,2021-07-21 19:40:58,"Mantullll, aplikasi yang sangat bermanfaat bagi para petani ikan untuk mendapatkan pakan"
Sarpini Nim 4201622024,5,2021-07-21 19:30:18,"Mantafff, aplikasi yang sangat membantu petani ikan... Kuueerrrrennn"
Dennis Christian,5,2021-07-21 19:25:48,Sangat bermanfaat untuk pembudidaya
